Identifica��o,QNT_Quantum,MediaTrocas,MediaIntrucoes,Tipo
Quantum1,1,12.2,0.9,Quantum1
Quantum2,2,6.9,1.5714285714285714,Quantum2
Quantum3,3,5.4,2.0412371134020617,Quantum3
Quantum4,4,4.8,2.2247191011235956,Quantum4
Quantum5,5,4.1,2.712328767123288,Quantum5
Quantum6,6,3.8,2.869565217391304,Quantum6
Quantum7,7,3.7,2.955223880597015,Quantum7
Quantum8,8,3.5,3.142857142857143,Quantum8
Quantum9,9,3.5,3.142857142857143,Quantum9
Quantum10,10,3.5,3.142857142857143,Quantum10
Quantum11,11,3.4,3.193548387096774,Quantum11
Quantum12,12,3.4,3.193548387096774,Quantum12
Quantum13,13,3.4,3.193548387096774,Quantum13
Quantum14,14,3.4,3.193548387096774,Quantum14
Quantum15,15,3.3,3.3,Quantum15
Quantum16,16,3.3,3.3,Quantum16
Quantum17,17,3.3,3.3,Quantum17
Quantum18,18,3.3,3.3,Quantum18
Quantum19,19,3.3,3.3,Quantum19
Quantum20,20,3.3,3.3,Quantum20
Quantum21,21,3.3,3.3,Quantum21
