Identificação,QNT_Quantum,MediaTrocas,MediaIntrucoes,Tipo
Quantum1,1,5.5,1.9272727272727272,Quantum1
Quantum2,2,4.6,2.3043478260869565,Quantum2
Quantum3,3,4.3,2.4651162790697674,Quantum3
Quantum4,4,4.2,2.5238095238095237,Quantum4
Quantum5,5,3.7,2.864864864864865,Quantum5
Quantum6,6,3.6,2.9444444444444446,Quantum6
Quantum7,7,3.5,3.0285714285714285,Quantum7
Quantum8,8,3.5,3.0285714285714285,Quantum8
Quantum9,9,3.5,3.0285714285714285,Quantum9
Quantum10,10,3.5,3.0285714285714285,Quantum10
Quantum11,11,3.5,3.0285714285714285,Quantum11
Quantum12,12,3.5,3.0285714285714285,Quantum12
Quantum13,13,3.5,3.0285714285714285,Quantum13
Quantum14,14,3.4,3.1176470588235294,Quantum14
Quantum15,15,3.4,3.1176470588235294,Quantum15
Quantum16,16,3.4,3.1176470588235294,Quantum16
Quantum17,17,3.4,3.1176470588235294,Quantum17
Quantum18,18,3.4,3.1176470588235294,Quantum18
Quantum19,19,3.4,3.1176470588235294,Quantum19
Quantum20,20,3.4,3.1176470588235294,Quantum20
Quantum21,21,3.3,3.212121212121212,Quantum21
Quantum22,22,3.3,3.212121212121212,Quantum22
