Identifica��o,QNT_Quantum,MediaTrocas,MediaIntrucoes,Tipo
Quantum1,1,9.9,0.9430379746835443,Quantum1
Quantum2,2,5.8,1.568421052631579,Quantum2
Quantum3,3,4.6,2.041095890410959,Quantum3
Quantum4,4,4.1,2.257575757575758,Quantum4
Quantum5,5,3.7,2.4833333333333334,Quantum5
Quantum6,6,3.3,2.98,Quantum6
Quantum7,7,3.3,2.98,Quantum7
Quantum8,8,3.2,3.0408163265306123,Quantum8
Quantum9,9,3.2,3.0408163265306123,Quantum9
Quantum10,10,3.2,3.0408163265306123,Quantum10
Quantum11,11,3.2,3.0408163265306123,Quantum11
Quantum12,12,3.2,3.0408163265306123,Quantum12
Quantum13,13,3.2,3.0408163265306123,Quantum13
Quantum14,14,3.1,3.1702127659574466,Quantum14
Quantum15,15,3.0,3.3863636363636362,Quantum15
Quantum16,16,2.9,3.5476190476190474,Quantum16
Quantum17,17,2.9,3.5476190476190474,Quantum17
Quantum18,18,2.9,3.5476190476190474,Quantum18
Quantum19,19,2.9,3.5476190476190474,Quantum19
Quantum20,20,2.9,3.5476190476190474,Quantum20
Quantum21,21,2.9,3.5476190476190474,Quantum21
